trailingPE,averageDailyVolume10Day,bid,ask,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,navPrice,ytdReturn,beta3Year,fundInceptionDate,threeYearAverageReturn,fiveYearAverageReturn,quoteType,symbol,averageDailyVolume3Month,trailingThreeMonthReturns,epsTrailingTwelveMonths,netExpenseRatio,priceToBook,morningStarOverallRating,morningStarRiskRating,dividendRate
17.192913,,,,191.31,266.13,259.7772,239.02725,,,32.37189,1.18,1711584000,,,MUTUALFUND,0P0001I8N6,,4.52269,15.155082,,,5,5,
,,,,15.65,21.31,20.772,19.31935,,,28.73991,,1711584000,,,MUTUALFUND,0P0001I8MY.F,,3.54468,,,,0,0,
,0,,,27.48,40.44,39.1434,35.7184,,,13.85965,1.23,760838400,,,MUTUALFUND,MFCCX,0,6.42252,,2.25,,4,3,0.78812
,0,,,30.51,45.16,43.7022,39.7617,,,14.76492,1.23,760838400,,,MUTUALFUND,MFCIX,0,6.70432,,1.21,,5,3,0.16765
,0,,,30.91,45.76,44.2896,40.29305,,,14.81095,1.23,760838400,,,MUTUALFUND,MVALX,0,6.71352,,1.18,,5,3,0.18669
,,,,9.48,12.65,12.3898,11.56305,,,26.53689,,1754956800,,,MUTUALFUND,0P0001U8K6.F,,4.74979,,,,0,0,
16.876814,,,,9.6,13.07,12.7938,11.81855,,,30.03064,,1754956800,,,MUTUALFUND,0P0001U8KA,,5.7309,0.76851004,,,0,0,
,,,,9.53,12.64,12.2272,11.315,,,21.04733,,1754956800,,,MUTUALFUND,0P0001U8KB.L,,7.99641,,,,0,0,
,,,,9.55,12.98,12.703,11.75255,,,29.11134,,1754956800,,,MUTUALFUND,0P0001U8KC.L,,5.68562,,,,0,0,
16.882296,,,,96.01,131.18,128.378,118.46315,,,30.34293,,1754956800,,,MUTUALFUND,0P0001U8KI,,5.79902,7.709852,,,0,0,
,0,,,17.56,27.97,26.7066,23.6294,,,24.02982,1.47,1224547200,,,MUTUALFUND,FFGRX,0,17.90993,,1.13,,4,4,0.61828
,0,,,19.59,31.59,30.1594,26.5078,,,24.35652,1.47,1224547200,,,MUTUALFUND,FGROX,0,17.99218,,0.78,,4,4,0.67551
,0,,,17.77,28.38,27.0974,23.9425,,,24.22447,1.47,1224547200,,,MUTUALFUND,HSPGX,0,17.97038,,1.02,,4,4,0.63099
,0,,,11.79,18.92,17.0426,15.5249,,,23.54691,1.47,1224547200,,,MUTUALFUND,HSPCX,0,17.72137,,1.68,,4,4,0.57001
,0,,,30.06,48.26,46.5884,40.1138,,,21.40212,1.32,1300838400,,,MUTUALFUND,CTSOX,0,13.33663,,0.95,,4,5,0.99795
,0,,,28.79,46.1,44.5176,38.3678,,,21.09332,1.32,1300838400,,,MUTUALFUND,CTASX,0,13.24555,,1.3,,4,4,0.88642
,,,,29.01,46.25,44.6822,38.58785,,,20.39366,1.32,1300838400,,,MUTUALFUND,CTCSX,,13.01001,,2.05,,5,4,0.67252
,0,,,29.91,47.97,46.3184,39.89245,,,21.32412,1.32,1300838400,,,MUTUALFUND,CTSIX,0,13.31016,,1.05,,4,5,0.97184
17.392351,0,,,12.17,18.75,15.3942,14.5711,,,6.75037,1.18,1020211200,,,MUTUALFUND,CRRYX,0,10.36196,0.90672046,0.77,,3,3,0.35382
16.173038,0,,,42.84,59.23,57.3024,53.0852,,,10.24102,1.24,522633600,,,MUTUALFUND,CUURX,0,12.43169,3.6622677,0.85,,4,4,0.24868
17.365038,0,,,10.69,16.68,13.396,12.73535,,,6.1592,1.18,1020211200,,,MUTUALFUND,CCTRX,0,10.26059,0.7895174,1.46,,3,3,0.23593
17.36803,0,,,11.13,17.3,13.9928,13.2828,,,6.35293,1.19,1020211200,,,MUTUALFUND,COVAX,0,10.29641,0.82450336,1.21,,3,3,0.27955
17.383682,0,,,11.51,17.84,14.5116,13.75765,,,6.57207,1.18,1020211200,,,MUTUALFUND,NSVAX,0,10.3085,0.8548246,0.96,,3,3,0.32033
17.38282,0,,,12.09,18.65,15.29,14.4762,,,6.7253,1.19,1020211200,,,MUTUALFUND,CRRRX,0,10.43603,0.90088946,0.81,,3,3,0.34538
16.168688,0,,,40.92,56.48,54.6494,50.662,,,10.18198,1.24,522633600,,,MUTUALFUND,CSCZX,0,12.41817,3.4931715,0.95,,4,4,0.23459
16.172691,0,,,41.32,57.08,55.2232,51.17755,,,10.28881,1.24,522633600,,,MUTUALFUND,CSVYX,0,12.45696,3.5294063,0.81,,4,4,0.25651
16.156866,0,,,34.3,47.32,45.512,42.31905,,,9.73633,1.23,522633600,,,MUTUALFUND,CSVRX,0,12.26392,2.9095988,1.45,,4,4,0.1563
18.692078,0,,,14.58,20.76,20.1856,18.30195,,,10.20222,1.26,1363219200,,,MUTUALFUND,BDSAX,0,12.29194,1.111166,0.75,,3,4,0.01892
18.653873,0,,,14.06,19.95,19.4054,17.62285,,,9.59329,1.26,1363219200,,,MUTUALFUND,BDSCX,0,12.06962,1.069483,1.5,,2,4,0.0035
18.718164,0,,,14.71,20.95,20.3694,18.46085,,,10.45401,1.26,1363219200,,,MUTUALFUND,BDSKX,0,12.40787,1.1203021,0.45,,2,4,0.03777
18.70092,0,,,14.69,20.92,20.348,18.44265,,,10.44435,1.27,1363219200,,,MUTUALFUND,BDSIX,0,12.4002,1.1197311,0.5,,3,4,0.03426
,0,,,11.28,12.16,12.0876,11.83285,,,7.91426,0.44,1446422400,,,MUTUALFUND,TDIFX,0,2.9064,,0.18,,3,1,0.2767
19.36107,933030,31.55,31.51,23.49,32.35,30.8546,29.13805,,31.03,5.88633,1.26,1376524800,0.1356156,0.1346557,ETF,FNDA,952558,9.05812,1.6280092,0.25,,,,
,0,,,11.28,12.16,12.0876,11.83285,,,7.91426,0.44,1446422400,,,MUTUALFUND,TDIFX,0,2.9064,,0.18,,3,1,0.2767
